Id,Prediction
1,ZH
2,BS
3,BS
4,LU
5,BS
6,LU
7,LU
8,BE
9,BS
10,BS
11,BS
12,BS
13,BS
14,BE
15,BE
16,ZH
17,ZH
18,ZH
19,LU
20,BE
21,BE
22,ZH
23,BS
24,BS
25,ZH
26,LU
27,BE
28,LU
29,BS
30,ZH
31,LU
32,ZH
33,BE
34,BE
35,BE
36,ZH
37,LU
38,BE
39,ZH
40,ZH
41,ZH
42,BE
43,BS
44,BS
45,ZH
46,ZH
47,BE
48,LU
49,ZH
50,LU
51,LU
52,LU
53,BS
54,BE
55,LU
56,LU
57,BS
58,BS
59,LU
60,BE
61,BS
62,ZH
63,ZH
64,BS
65,ZH
66,ZH
67,LU
68,LU
69,ZH
70,ZH
71,BE
72,BS
73,BE
74,BE
75,LU
76,ZH
77,LU
78,LU
79,BE
80,BE
81,LU
82,ZH
83,LU
84,BE
85,BS
86,LU
87,BE
88,BE
89,LU
90,ZH
91,LU
92,ZH
93,BS
94,BS
95,BE
96,ZH
97,LU
98,BE
99,ZH
100,ZH
101,ZH
102,ZH
103,ZH
104,BE
105,BS
106,BE
107,BE
108,ZH
109,LU
110,ZH
111,BS
112,LU
113,ZH
114,BE
115,LU
116,BE
117,BS
118,LU
119,ZH
120,BE
121,BE
122,LU
123,BS
124,LU
125,BE
126,ZH
127,BE
128,ZH
129,LU
130,LU
131,BS
132,BS
133,BE
134,LU
135,BE
136,BE
137,BE
138,LU
139,ZH
140,ZH
141,BS
142,ZH
143,BE
144,BE
145,BE
146,BS
147,BS
148,BS
149,ZH
150,BE
151,BE
152,BS
153,BE
154,ZH
155,BE
156,BE
157,LU
158,BS
159,BS
160,ZH
161,LU
162,BE
163,BE
164,ZH
165,ZH
166,ZH
167,ZH
168,ZH
169,LU
170,ZH
171,BS
172,BE
173,BS
174,BS
175,BS
176,ZH
177,BS
178,BS
179,ZH
180,ZH
181,BS
182,LU
183,ZH
184,ZH
185,ZH
186,BS
187,ZH
188,BS
189,ZH
190,LU
191,LU
192,BE
193,ZH
194,ZH
195,ZH
196,LU
197,ZH
198,ZH
199,BE
200,LU
201,LU
202,LU
203,BE
204,LU
205,BS
206,ZH
207,LU
208,BS
209,BE
210,ZH
211,BS
212,BS
213,ZH
214,BE
215,BE
216,BE
217,BE
218,BE
219,ZH
220,BE
221,ZH
222,ZH
223,BE
224,BS
225,BS
226,BS
227,LU
228,ZH
229,LU
230,BS
231,BS
232,BE
233,BE
234,ZH
235,LU
236,BE
237,LU
238,BE
239,ZH
240,ZH
241,BS
242,BS
243,ZH
244,BE
245,BS
246,ZH
247,BE
248,ZH
249,LU
250,LU
251,LU
252,ZH
253,ZH
254,BS
255,BS
256,BE
257,LU
258,LU
259,LU
260,LU
261,LU
262,ZH
263,LU
264,LU
265,BE
266,BE
267,LU
268,BS
269,LU
270,ZH
271,ZH
272,BS
273,ZH
274,BS
275,LU
276,BS
277,BE
278,BE
279,BE
280,BE
281,BE
282,LU
283,BE
284,BE
285,ZH
286,LU
287,LU
288,BS
289,BE
290,LU
291,BE
292,LU
293,LU
294,BS
295,ZH
296,LU
297,ZH
298,BE
299,LU
300,BS
301,ZH
302,ZH
303,BS
304,BE
305,BS
306,BS
307,LU
308,LU
309,BE
310,BS
311,LU
312,BE
313,BS
314,BS
315,BE
316,ZH
317,BE
318,BE
319,LU
320,BE
321,LU
322,ZH
323,BE
324,BE
325,ZH
326,BE
327,BE
328,ZH
329,LU
330,LU
331,BS
332,BS
333,BS
334,BS
335,BS
336,LU
337,ZH
338,LU
339,BE
340,LU
341,BE
342,ZH
343,BE
344,BS
345,BE
346,BS
347,LU
348,LU
349,ZH
350,ZH
351,BS
352,LU
353,ZH
354,LU
355,LU
356,ZH
357,BE
358,BS
359,ZH
360,LU
361,ZH
362,BE
363,LU
364,ZH
365,BS
366,LU
367,LU
368,ZH
369,LU
370,LU
371,BE
372,BE
373,BS
374,BE
375,BE
376,BE
377,BS
378,BS
379,BS
380,ZH
381,BE
382,BS
383,LU
384,BS
385,BE
386,BE
387,ZH
388,ZH
389,ZH
390,ZH
391,LU
392,BE
393,BE
394,BS
395,LU
396,ZH
397,ZH
398,ZH
399,ZH
400,ZH
401,LU
402,BS
403,ZH
404,BE
405,BS
406,ZH
407,BS
408,ZH
409,LU
410,BS
411,LU
412,BS
413,LU
414,LU
415,ZH
416,ZH
417,ZH
418,LU
419,BE
420,BE
421,ZH
422,BE
423,BE
424,LU
425,LU
426,LU
427,BS
428,ZH
429,BE
430,ZH
431,ZH
432,LU
433,BE
434,BS
435,ZH
436,BS
437,BS
438,BE
439,LU
440,BS
441,ZH
442,BE
443,ZH
444,ZH
445,ZH
446,LU
447,ZH
448,BS
449,BE
450,LU
451,ZH
452,ZH
453,LU
454,BS
455,BE
456,BE
457,BS
458,BE
459,ZH
460,LU
461,ZH
462,BE
463,BE
464,ZH
465,LU
466,BS
467,BE
468,BE
469,BS
470,ZH
471,LU
472,BS
473,LU
474,LU
475,LU
476,BS
477,BE
478,BE
479,BE
480,ZH
481,ZH
482,ZH
483,BE
484,ZH
485,BS
486,ZH
487,LU
488,LU
489,LU
490,ZH
491,BS
492,ZH
493,BE
494,BS
495,BE
